,precision,recall,f1-score,support
0.0,0.76,0.4418604651162791,0.5588235294117647,43.0
1.0,0.7551020408163265,0.925,0.8314606741573034,80.0
accuracy,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7560975609756098
macro avg,0.7575510204081632,0.6834302325581396,0.6951421017845341,123.0
weighted avg,0.7568143354902936,0.7560975609756098,0.7361485016039849,123.0
